seq_id,study_label,arm_id,outcome_id,outcome_name,control_arm,gt_delta,llm_effect,gt_treatment_mean,gt_control_mean,gt_n_treatment,gt_n_control,metric,comparable,note
174,COVID-19 Information Treatments Shift Related Policy Preferences and Plans for Consumer Behavior,aap_in_person_schooling,likely_eat_at_restaurant,Likely to eat at a restaurant,record_high_cases,0.115,,0.51,0.395,,,proportion,False,llm control mean missing
174,COVID-19 Information Treatments Shift Related Policy Preferences and Plans for Consumer Behavior,aap_in_person_schooling,support_k12_in_person_schooling,Support providing in-person schooling for K-12 students,record_high_cases,0.157,,0.662,0.505,,,proportion,False,llm control mean missing
174,COVID-19 Information Treatments Shift Related Policy Preferences and Plans for Consumer Behavior,high_hospitalizations,agree_to_be_vaccinated,Agree to be vaccinated in spring 2021 with COVID vaccine,record_high_cases,-0.037,,0.513,0.55,,,proportion,False,llm control mean missing
174,COVID-19 Information Treatments Shift Related Policy Preferences and Plans for Consumer Behavior,high_hospitalizations,likely_eat_at_restaurant,Likely to eat at a restaurant,record_high_cases,0.043,,0.438,0.395,,,proportion,False,llm control mean missing
174,COVID-19 Information Treatments Shift Related Policy Preferences and Plans for Consumer Behavior,high_hospitalizations,support_k12_in_person_schooling,Support providing in-person schooling for K-12 students,record_high_cases,0.056,,0.561,0.505,,,proportion,False,llm control mean missing
174,COVID-19 Information Treatments Shift Related Policy Preferences and Plans for Consumer Behavior,jobless_rate,agree_to_be_vaccinated,Agree to be vaccinated in spring 2021 with COVID vaccine,record_high_cases,0.005,,0.555,0.55,,,proportion,False,llm control mean missing
174,COVID-19 Information Treatments Shift Related Policy Preferences and Plans for Consumer Behavior,jobless_rate,likely_eat_at_restaurant,Likely to eat at a restaurant,record_high_cases,0.075,,0.47,0.395,,,proportion,False,llm control mean missing
174,COVID-19 Information Treatments Shift Related Policy Preferences and Plans for Consumer Behavior,jobless_rate,support_k12_in_person_schooling,Support providing in-person schooling for K-12 students,record_high_cases,0.109,,0.614,0.505,,,proportion,False,llm control mean missing
176,A Word is Worth A Thousand Words: Biased Beliefs about Political Language Use,incentive_left,prediction_error_left_targets,Prediction error for Left respondents,no_incentive_moderate,-1.223,,26.967,28.19,,,mean,False,llm control mean missing
176,A Word is Worth A Thousand Words: Biased Beliefs about Political Language Use,incentive_left,prediction_error_moderate_targets,Prediction error for moderate respondents,no_incentive_moderate,0.042,,23.032,22.99,,,mean,False,llm control mean missing
176,A Word is Worth A Thousand Words: Biased Beliefs about Political Language Use,incentive_left,prediction_error_right_targets,Prediction error for Right respondents,no_incentive_moderate,6.127,,27.097,20.97,,,mean,False,llm control mean missing
176,A Word is Worth A Thousand Words: Biased Beliefs about Political Language Use,incentive_moderate,prediction_error_left_targets,Prediction error for Left respondents,no_incentive_moderate,1.699,,29.889,28.19,,,mean,False,llm control mean missing
176,A Word is Worth A Thousand Words: Biased Beliefs about Political Language Use,incentive_moderate,prediction_error_moderate_targets,Prediction error for moderate respondents,no_incentive_moderate,3.28,,26.27,22.99,,,mean,False,llm control mean missing
176,A Word is Worth A Thousand Words: Biased Beliefs about Political Language Use,incentive_moderate,prediction_error_right_targets,Prediction error for Right respondents,no_incentive_moderate,3.764,,24.734,20.97,,,mean,False,llm control mean missing
176,A Word is Worth A Thousand Words: Biased Beliefs about Political Language Use,incentive_right,prediction_error_left_targets,Prediction error for Left respondents,no_incentive_moderate,1.129,,29.319,28.19,,,mean,False,llm control mean missing
176,A Word is Worth A Thousand Words: Biased Beliefs about Political Language Use,incentive_right,prediction_error_moderate_targets,Prediction error for moderate respondents,no_incentive_moderate,-1.013,,21.977,22.99,,,mean,False,llm control mean missing
176,A Word is Worth A Thousand Words: Biased Beliefs about Political Language Use,incentive_right,prediction_error_right_targets,Prediction error for Right respondents,no_incentive_moderate,2.533,,23.503,20.97,,,mean,False,llm control mean missing
176,A Word is Worth A Thousand Words: Biased Beliefs about Political Language Use,no_incentive_left,prediction_error_left_targets,Prediction error for Left respondents,no_incentive_moderate,-2.462,,25.728,28.19,,,mean,False,llm control mean missing
176,A Word is Worth A Thousand Words: Biased Beliefs about Political Language Use,no_incentive_left,prediction_error_moderate_targets,Prediction error for moderate respondents,no_incentive_moderate,0.776,,23.766,22.99,,,mean,False,llm control mean missing
176,A Word is Worth A Thousand Words: Biased Beliefs about Political Language Use,no_incentive_left,prediction_error_right_targets,Prediction error for Right respondents,no_incentive_moderate,6.096,,27.066,20.97,,,mean,False,llm control mean missing
176,A Word is Worth A Thousand Words: Biased Beliefs about Political Language Use,no_incentive_right,prediction_error_left_targets,Prediction error for Left respondents,no_incentive_moderate,-0.773,,27.417,28.19,,,mean,False,llm control mean missing
176,A Word is Worth A Thousand Words: Biased Beliefs about Political Language Use,no_incentive_right,prediction_error_moderate_targets,Prediction error for moderate respondents,no_incentive_moderate,-0.382,,22.608,22.99,,,mean,False,llm control mean missing
176,A Word is Worth A Thousand Words: Biased Beliefs about Political Language Use,no_incentive_right,prediction_error_right_targets,Prediction error for Right respondents,no_incentive_moderate,3.758,,24.728,20.97,,,mean,False,llm control mean missing
178,"Attention, expectation updating, and subjective models of the macroeconomy",high_inflation,durable_goods,Durable Goods,low_inflation,0.1,,,,,,coefficient,False,llm control mean missing
178,"Attention, expectation updating, and subjective models of the macroeconomy",high_inflation,interest_expectation,Interest Expectation,low_inflation,0.172,,,,,,coefficient,False,llm control mean missing
178,"Attention, expectation updating, and subjective models of the macroeconomy",high_inflation,invest_funds,Invest Funds,low_inflation,-37.23,,,,,,coefficient,False,llm control mean missing
178,"Attention, expectation updating, and subjective models of the macroeconomy",high_inflation,non_durable_goods,Non-Durable Goods,low_inflation,0.132,,,,,,coefficient,False,llm control mean missing
178,"Attention, expectation updating, and subjective models of the macroeconomy",high_inflation,unemp_expectation,Unemployment Expectation,low_inflation,1.044,,,,,,coefficient,False,llm control mean missing
183,Do people trust humans more than ChatGPT?,ai_written_informed,high_trust_accuracy,High trust that the paragraph had no factual errors,human_written_informed,0.0,,0.2,0.2,148,164,proportion,False,llm control mean missing
